scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
mempool/alta	oficial	16	19.736800	0.000400	0.262300	0.353850	0.456240	0.373225	6.080140	6080139.961761	9.591919	59.949494	2.822535	4.233477
mempool/alta	TBB	16	55.706650	0.001700	0.005900	0.011800	0.452290	0.130260	2.154141	2154141.397346	13.308950	83.180939	1.000000	1.499885
mempool/alta	WinTP	16	83.553700	0.016800	0.047250	0.158500	0.178850	0.183225	1.436205	1436204.734038	3.686763	23.042271	0.666718	1.000000
mempool-noinline/media	oficial	16	9.053700	0.000400	0.446150	0.469650	0.733790	0.535810	6.627412	6627412.021801	0.000000	0.000000	3.085212	4.589687
mempool-noinline/media	TBB	16	27.931700	0.001700	0.006000	0.014350	0.236550	0.066895	2.148122	2148122.340137	14.683348	91.770924	1.000000	1.487641
mempool-noinline/media	WinTP	16	41.551950	0.016600	0.290100	0.345200	0.380170	0.347520	1.443979	1443978.995181	3.785330	23.658314	0.672205	1.000000
mempool-noinline/alta	oficial	16	19.017050	0.000400	0.359700	0.424700	0.573700	0.451895	6.310222	6310222.383983	9.971523	62.322019	2.927278	4.376468
mempool-noinline/alta	TBB	16	55.678400	0.001700	0.006000	0.012550	0.361680	0.118475	2.155662	2155662.186794	14.853496	92.834349	1.000000	1.495064
mempool-noinline/alta	WinTP	16	83.227850	0.016950	0.116950	0.313300	0.345680	0.318640	1.441853	1441852.634081	3.851359	24.070996	0.668868	1.000000
lento-misto	oficial	16	1025.884050	12.109550	969.279350	992.838100	1018.601370	992.514385	0.003899	3899.076350	14.752661	92.204129	1.090641	1.052596
lento-misto	TBB	16	1118.951450	549.819000	1094.276950	1107.224900	1110.433890	1106.414420	0.003575	3575.032623	14.522729	90.767057	1.000000	0.965117
lento-misto	WinTP	16	1079.857300	529.586400	1061.056800	1070.388200	1079.943240	1069.933555	0.003704	3704.246701	14.572659	91.079118	1.036143	1.000000
