scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
media/media	TBB	16	108.017700	41.479400	82.989200	84.415800	88.363700	84.584520	0.555465	555464.521092	14.371273	89.820458	1.000000	1.021262
media/media	WinTP	16	110.314400	41.304400	74.644100	75.271700	76.206533	75.350160	0.543900	543899.980420	15.035938	93.974614	0.979180	1.000000
media/alta	oficial	16	252.958800	20.788100	47.753300	49.385800	58.838800	51.520740	0.474386	474385.552114	14.577473	91.109204	1.083975	1.019625
media/alta	g1-ring	16	259.995800	29.488900	50.906000	51.276300	71.539633	57.921930	0.461546	461545.917280	15.118327	94.489544	1.054637	0.992028
media/alta	g2-sub	16	254.984300	10.184600	93.913200	96.717600	133.498867	96.968610	0.470617	470617.210550	14.570095	91.063094	1.075365	1.011525
media/alta	g3-wrk	16	297.389500	31.814300	64.650500	64.902100	70.077833	64.975400	0.403511	403511.220134	14.374098	89.838113	0.922027	0.867291
media/alta	g4-park	16	261.466400	21.791400	48.998900	53.594600	55.937500	54.139560	0.458950	458949.983631	14.379943	89.874645	1.048705	0.986448
media/alta	all	16	251.965100	12.052900	152.400200	154.525300	158.001500	156.432810	0.476256	476256.433927	15.332761	95.829758	1.088250	1.023646
media/alta	final	16	242.979000	24.763100	43.554700	45.902000	65.015667	47.055000	0.493870	493869.840604	14.854679	92.841742	1.128497	1.061504
media/alta	TBB	16	274.201100	114.007800	214.432600	216.816100	223.733333	216.952520	0.437635	437635.005841	14.131964	88.324773	1.000000	0.940635
media/alta	WinTP	16	257.923100	100.641600	190.427600	192.281600	196.094833	192.531410	0.465255	465254.953899	14.599797	91.248734	1.063112	1.000000
media/ultra	oficial	16	445.485200	30.804700	50.438400	51.947000	53.435733	52.321820	0.404054	404053.827153	15.676729	97.979559	1.065999	1.014680
media/ultra	g1-ring	16	441.128900	31.137800	50.246300	50.527200	81.375433	67.290400	0.408044	408043.998024	15.159968	94.749800	1.076527	1.024700
media/ultra	g2-sub	16	438.773100	12.100600	423.993200	427.900500	310.303333	428.340220	0.410235	410234.811569	15.170141	94.813384	1.082307	1.030202
